"ICD10Code","ICD10Description","Comorbidity"
"F19.280","Other psychoactive substance dependence with psychoactive substance-induced anxiety disorder","DrugDependence"
"F19.282","Other psychoactive substance dependence with psychoactive substance-induced sleep disorder","DrugDependence"
"F19.288","Other psychoactive substance dependence with other psychoactive substance-induced disorder","DrugDependence"
"F19.29","Other psychoactive substance dependence with unspecified psychoactive substance-induced disorder","DrugDependence"
"F50.00","Anorexia nervosa, unspecified","EatingDisorder"
"F50.01","Anorexia nervosa, restricting type","EatingDisorder"
"F50.02","Anorexia nervosa, binge eating/purging type","EatingDisorder"
"F50.2","Bulimia nervosa","EatingDisorder"
"F50.8","Other Eating Disorders","EatingDisorder"
"F50.81","Binge eating disorder","EatingDisorder"
"F50.82","Avoidant/restrictive food intake disorder","EatingDisorder"
"F50.89","Other specified eating disorder","EatingDisorder"
"F50.9","Eating disorder, unspecified","EatingDisorder"
"F22.","Delusional disorders","Psychosis"
"F23.","Brief psychotic disorder","Psychosis"
"F24.","Shared psychotic disorder","Psychosis"
"F28.","Other psychotic disorder not due to a substance or known physiological condition","Psychosis"
"F29.","Unspecified psychosis not due to a substance or known physiological condition","Psychosis"
"F20.0","Paranoid schizophrenia","Schizophrenia"
"F20.1","Disorganized schizophrenia","Schizophrenia"
"F20.2","Catatonic schizophrenia","Schizophrenia"
"F20.3","Undifferentiated schizophrenia","Schizophrenia"
"F20.5","Residual schizophrenia","Schizophrenia"
"F20.81","Schizophreniform disorder","Schizophrenia"
"F20.89","Other schizophrenia","Schizophrenia"
"F20.9","Schizophrenia, unspecified","Schizophrenia"
"F21.","Schizotypal disorder","Schizophrenia"
"F25.0","Schizoaffective disorder, bipolar type","Schizophrenia"
"F25.1","Schizoaffective disorder, depressive type","Schizophrenia"
"F25.8","Other schizoaffective disorders","Schizophrenia"
"F25.9","Schizoaffective disorder, unspecified","Schizophrenia"
"Z71.6","Tobacco abuse counseling","Smoking"
"Z72.0","Tobacco use","Smoking"
"R45.851","Suicidal ideations","SuicideIdeationOrAttempt"
"T14.91","Suicide Attempt","SuicideIdeationOrAttempt"
"T36.8X2A","Poisoning by other systemic antibiotics, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T36.8X4A","Poisoning by other systemic antibiotics, undetermined, initial encounter","SuicideIdeationOrAttempt"
"T37.5X2A","Poisoning by antiviral drugs, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T38.0X2A","Poisoning by glucocorticoids and synthetic analogues, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T38.0X4A","Poisoning by glucocorticoids and synthetic analogues, undetermined, initial encounter","SuicideIdeationOrAttempt"
"T38.0X4D","Poisoning by glucocorticoids and synthetic analogues, undetermined, subsequent encounter","SuicideIdeationOrAttempt"
"T38.3X2A","Poisoning by insulin and oral hypoglycemic [antidiabetic] drugs, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T38.3X2D","Poisoning by insulin and oral hypoglycemic [antidiabetic] drugs, intentional self-harm, subsequent encounter","SuicideIdeationOrAttempt"
"T38.3X4A","Poisoning by insulin and oral hypoglycemic [antidiabetic] drugs, undetermined, initial encounter","SuicideIdeationOrAttempt"
"T38.5X2S","Poisoning by other estrogens and progestogens, intentional self-harm, sequela","SuicideIdeationOrAttempt"
"T38.7X2A","Poisoning by androgens and anabolic congeners, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T38.7X4S","Poisoning by androgens and anabolic congeners, undetermined, sequela","SuicideIdeationOrAttempt"
"T38.814D","Poisoning by anterior pituitary [adenohypophyseal] hormones, undetermined, subsequent encounter","SuicideIdeationOrAttempt"
"T39.012A","Poisoning by aspirin, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T39.092A","Poisoning by salicylates, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T39.092S","Poisoning by salicylates, intentional self-harm, sequela","SuicideIdeationOrAttempt"
"T39.094A","Poisoning by salicylates, undetermined, initial encounter","SuicideIdeationOrAttempt"
"T39.1X2A","Poisoning by 4-Aminophenol derivatives, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T39.1X2D","Poisoning by 4-Aminophenol derivatives, intentional self-harm, subsequent encounter","SuicideIdeationOrAttempt"
"T39.1X4A","Poisoning by 4-Aminophenol derivatives, undetermined, initial encounter","SuicideIdeationOrAttempt"
"T39.1X4D","Poisoning by 4-Aminophenol derivatives, undetermined, subsequent encounter","SuicideIdeationOrAttempt"
"T39.312A","Poisoning by propionic acid derivatives, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T39.312D","Poisoning by propionic acid derivatives, intentional self-harm, subsequent encounter","SuicideIdeationOrAttempt"
"T39.392A","Poisoning by other nonsteroidal anti-inflammatory drugs [NSAID], intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T39.8X2A","Poisoning by other nonopioid analgesics and antipyretics, not elsewhere classified, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T39.8X2S","Poisoning by other nonopioid analgesics and antipyretics, not elsewhere classified, intentional self-harm, sequela","SuicideIdeationOrAttempt"
"T40.0X2A","Poisoning by opium, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T40.0X2D","Poisoning by opium, intentional self-harm, subsequent encounter","SuicideIdeationOrAttempt"
"T40.0X4A","Poisoning by opium, undetermined, initial encounter","SuicideIdeationOrAttempt"
"T40.1X2A","Poisoning by heroin, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T40.1X2D","Poisoning by heroin, intentional self-harm, subsequent encounter","SuicideIdeationOrAttempt"
"T40.1X2S","Poisoning by heroin, intentional self-harm, sequela","SuicideIdeationOrAttempt"
"T40.1X4A","Poisoning by heroin, undetermined, initial encounter","SuicideIdeationOrAttempt"
"T40.1X4D","Poisoning by heroin, undetermined, subsequent encounter","SuicideIdeationOrAttempt"
"T40.1X4S","Poisoning by heroin, undetermined, sequela","SuicideIdeationOrAttempt"
"T40.2X2A","Poisoning by other opioids, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T40.2X2D","Poisoning by other opioids, intentional self-harm, subsequent encounter","SuicideIdeationOrAttempt"
"T40.2X2S","Poisoning by other opioids, intentional self-harm, sequela","SuicideIdeationOrAttempt"
"T40.2X4A","Poisoning by other opioids, undetermined, initial encounter","SuicideIdeationOrAttempt"
"T40.2X4D","Poisoning by other opioids, undetermined, subsequent encounter","SuicideIdeationOrAttempt"
"T40.3X2A","Poisoning by methadone, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T40.3X4A","Poisoning by methadone, undetermined, initial encounter","SuicideIdeationOrAttempt"
"T40.3X4S","Poisoning by methadone, undetermined, sequela","SuicideIdeationOrAttempt"
"T40.412A","Poisoning by fentanyl or fentanyl analogs, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T40.412D","Poisoning by fentanyl or fentanyl analogs, intentional self-harm, subsequent encounter","SuicideIdeationOrAttempt"
"T40.414A","Poisoning by fentanyl or fentanyl analogs, undetermined, initial encounter","SuicideIdeationOrAttempt"
"T40.414D","Poisoning by fentanyl or fentanyl analogs, undetermined, subsequent encounter","SuicideIdeationOrAttempt"
"T40.414S","Poisoning by fentanyl or fentanyl analogs, undetermined, sequela","SuicideIdeationOrAttempt"
"T40.422A","Poisoning by tramadol, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T40.422D","Poisoning by tramadol, intentional self-harm, subsequent encounter","SuicideIdeationOrAttempt"
"T40.424A","Poisoning by tramadol, undetermined, initial encounter","SuicideIdeationOrAttempt"
"T40.424D","Poisoning by tramadol, undetermined, subsequent encounter","SuicideIdeationOrAttempt"
"T40.424S","Poisoning by tramadol, undetermined, sequela","SuicideIdeationOrAttempt"
"T40.492A","Poisoning by other synthetic narcotics, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T40.492D","Poisoning by other synthetic narcotics, intentional self-harm, subsequent encounter","SuicideIdeationOrAttempt"
"T40.494A","Poisoning by other synthetic narcotics, undetermined, initial encounter","SuicideIdeationOrAttempt"
"T40.494D","Poisoning by other synthetic narcotics, undetermined, subsequent encounter","SuicideIdeationOrAttempt"
"T40.494S","Poisoning by other synthetic narcotics, undetermined, sequela","SuicideIdeationOrAttempt"
"T40.4X2A","Poisoning by other synthetic narcotics, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T40.4X2D","Poisoning by other synthetic narcotics, intentional self-harm, subsequent encounter","SuicideIdeationOrAttempt"
"T40.4X4A","Poisoning by other synthetic narcotics, undetermined, initial encounter","SuicideIdeationOrAttempt"
"T40.4X4D","Poisoning by other synthetic narcotics, undetermined, subsequent encounter","SuicideIdeationOrAttempt"
"T40.4X4S","Poisoning by other synthetic narcotics, undetermined, sequela","SuicideIdeationOrAttempt"
"T40.5X2A","Poisoning by cocaine, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T40.5X4A","Poisoning by cocaine, undetermined, initial encounter","SuicideIdeationOrAttempt"
"T40.602A","Poisoning by unspecified narcotics, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T40.602S","Poisoning by unspecified narcotics, intentional self-harm, sequela","SuicideIdeationOrAttempt"
"T40.604A","Poisoning by unspecified narcotics, undetermined, initial encounter","SuicideIdeationOrAttempt"
"T40.604D","Poisoning by unspecified narcotics, undetermined, subsequent encounter","SuicideIdeationOrAttempt"
"T40.604S","Poisoning by unspecified narcotics, undetermined, sequela","SuicideIdeationOrAttempt"
"T40.692A","Poisoning by other narcotics, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T40.694A","Poisoning by other narcotics, undetermined, initial encounter","SuicideIdeationOrAttempt"
"T40.694D","Poisoning by other narcotics, undetermined, subsequent encounter","SuicideIdeationOrAttempt"
"T40.712A","Poisoning by cannabis, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T40.712S","Poisoning by cannabis, intentional self-harm, sequela","SuicideIdeationOrAttempt"
"T40.714A","Poisoning by cannabis, undetermined, initial encounter","SuicideIdeationOrAttempt"
"T40.722A","Poisoning by synthetic cannabinoids, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T40.722S","Poisoning by synthetic cannabinoids, intentional self-harm, sequela","SuicideIdeationOrAttempt"
"T40.724A","Poisoning by synthetic cannabinoids, undetermined, initial encounter","SuicideIdeationOrAttempt"
"T40.7X2A","Poisoning by cannabis (derivatives), intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T40.7X2S","Poisoning by cannabis (derivatives), intentional self-harm, sequela","SuicideIdeationOrAttempt"
"T40.7X4A","Poisoning by cannabis (derivatives), undetermined, initial encounter","SuicideIdeationOrAttempt"
"T40.8X4S","Poisoning by lysergide [LSD], undetermined, sequela","SuicideIdeationOrAttempt"
"T40.994A","Poisoning by other psychodysleptics [hallucinogens], undetermined, initial encounter","SuicideIdeationOrAttempt"
"T41.0X2D","Poisoning by inhaled anesthetics, intentional self-harm, subsequent encounter","SuicideIdeationOrAttempt"
"T41.1X4A","Poisoning by intravenous anesthetics, undetermined, initial encounter","SuicideIdeationOrAttempt"
"T41.1X4D","Poisoning by intravenous anesthetics, undetermined, subsequent encounter","SuicideIdeationOrAttempt"
"T41.292A","Poisoning by other general anesthetics, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T41.3X2A","Poisoning by local anesthetics, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T42.0X4A","Poisoning by hydantoin derivatives, undetermined, initial encounter","SuicideIdeationOrAttempt"
"T42.1X2A","Poisoning by iminostilbenes, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T42.1X4A","Poisoning by iminostilbenes, undetermined, initial encounter","SuicideIdeationOrAttempt"
"T42.2X2A","Poisoning by succinimides and oxazolidinediones, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T42.3X2A","Poisoning by barbiturates, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T42.3X4A","Poisoning by barbiturates, undetermined, initial encounter","SuicideIdeationOrAttempt"
"T42.3X4S","Poisoning by barbiturates, undetermined, sequela","SuicideIdeationOrAttempt"
"T42.4X2A","Poisoning by benzodiazepines, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T42.4X2D","Poisoning by benzodiazepines, intentional self-harm, subsequent encounter","SuicideIdeationOrAttempt"
"T42.4X4A","Poisoning by benzodiazepines, undetermined, initial encounter","SuicideIdeationOrAttempt"
"T42.4X4S","Poisoning by benzodiazepines, undetermined, sequela","SuicideIdeationOrAttempt"
"T42.5X2A","Poisoning by mixed antiepileptics, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T42.6X2A","Poisoning by other antiepileptic and sedative-hypnotic drugs, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T42.6X4A","Poisoning by other antiepileptic and sedative-hypnotic drugs, undetermined, initial encounter","SuicideIdeationOrAttempt"
"T42.8X2A","Poisoning by antiparkinsonism drugs and other central muscle-tone depressants, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T42.8X4A","Poisoning by antiparkinsonism drugs and other central muscle-tone depressants, undetermined, initial encounter","SuicideIdeationOrAttempt"
"T43.012A","Poisoning by tricyclic antidepressants, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T43.012D","Poisoning by tricyclic antidepressants, intentional self-harm, subsequent encounter","SuicideIdeationOrAttempt"
"T43.014A","Poisoning by tricyclic antidepressants, undetermined, initial encounter","SuicideIdeationOrAttempt"
"T43.022A","Poisoning by tetracyclic antidepressants, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T43.022D","Poisoning by tetracyclic antidepressants, intentional self-harm, subsequent encounter","SuicideIdeationOrAttempt"
"T43.202A","Poisoning by unspecified antidepressants, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T43.202D","Poisoning by unspecified antidepressants, intentional self-harm, subsequent encounter","SuicideIdeationOrAttempt"
"T43.204A","Poisoning by unspecified antidepressants, undetermined, initial encounter","SuicideIdeationOrAttempt"
"T43.212A","Poisoning by selective serotonin and norepinephrine reuptake inhibitors, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T43.212D","Poisoning by selective serotonin and norepinephrine reuptake inhibitors, intentional self-harm, subsequent encounter","SuicideIdeationOrAttempt"
"T43.212S","Poisoning by selective serotonin and norepinephrine reuptake inhibitors, intentional self-harm, sequela","SuicideIdeationOrAttempt"
"T43.214A","Poisoning by selective serotonin and norepinephrine reuptake inhibitors, undetermined, initial encounter","SuicideIdeationOrAttempt"
"T43.222A","Poisoning by selective serotonin reuptake inhibitors, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T43.222D","Poisoning by selective serotonin reuptake inhibitors, intentional self-harm, subsequent encounter","SuicideIdeationOrAttempt"
"T43.224A","Poisoning by selective serotonin reuptake inhibitors, undetermined, initial encounter","SuicideIdeationOrAttempt"
"T43.292A","Poisoning by other antidepressants, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T43.292D","Poisoning by other antidepressants, intentional self-harm, subsequent encounter","SuicideIdeationOrAttempt"
"T43.294A","Poisoning by other antidepressants, undetermined, initial encounter","SuicideIdeationOrAttempt"
"T43.3X2A","Poisoning by phenothiazine antipsychotics and neuroleptics, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T43.3X4D","Poisoning by phenothiazine antipsychotics and neuroleptics, undetermined, subsequent encounter","SuicideIdeationOrAttempt"
"T43.4X2A","Poisoning by butyrophenone and thiothixene neuroleptics, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T43.502A","Poisoning by unspecified antipsychotics and neuroleptics, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T43.502D","Poisoning by unspecified antipsychotics and neuroleptics, intentional self-harm, subsequent encounter","SuicideIdeationOrAttempt"
"T43.504A","Poisoning by unspecified antipsychotics and neuroleptics, undetermined, initial encounter","SuicideIdeationOrAttempt"
"T43.592A","Poisoning by other antipsychotics and neuroleptics, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T43.592D","Poisoning by other antipsychotics and neuroleptics, intentional self-harm, subsequent encounter","SuicideIdeationOrAttempt"
"T43.594A","Poisoning by other antipsychotics and neuroleptics, undetermined, initial encounter","SuicideIdeationOrAttempt"
"T43.612D","Poisoning by caffeine, intentional self-harm, subsequent encounter","SuicideIdeationOrAttempt"
"T43.614A","Poisoning by caffeine, undetermined, initial encounter","SuicideIdeationOrAttempt"
"T43.622A","Poisoning by amphetamines, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T43.622D","Poisoning by amphetamines, intentional self-harm, subsequent encounter","SuicideIdeationOrAttempt"
"T43.622S","Poisoning by amphetamines, intentional self-harm, sequela","SuicideIdeationOrAttempt"
"T43.624A","Poisoning by amphetamines, undetermined, initial encounter","SuicideIdeationOrAttempt"
"T43.624D","Poisoning by amphetamines, undetermined, subsequent encounter","SuicideIdeationOrAttempt"
"T43.624S","Poisoning by amphetamines, undetermined, sequela","SuicideIdeationOrAttempt"
"T43.632A","Poisoning by methylphenidate, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T43.692A","Poisoning by other psychostimulants, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T43.8X2A","Poisoning by other psychotropic drugs, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T43.8X4A","Poisoning by other psychotropic drugs, undetermined, initial encounter","SuicideIdeationOrAttempt"
"T44.3X2A","Poisoning by other parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T44.3X4A","Poisoning by other parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics, undetermined, initial encounter","SuicideIdeationOrAttempt"
"T44.3X4S","Poisoning by other parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics, undetermined, sequela","SuicideIdeationOrAttempt"
"T44.6X2A","Poisoning by alpha-adrenoreceptor antagonists, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T44.7X2A","Poisoning by beta-adrenoreceptor antagonists, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T44.7X2D","Poisoning by beta-adrenoreceptor antagonists, intentional self-harm, subsequent encounter","SuicideIdeationOrAttempt"
"T44.904A","Poisoning by unspecified drugs primarily affecting the autonomic nervous system, undetermined, initial encounter","SuicideIdeationOrAttempt"
"T44.992A","Poisoning by other drug primarily affecting the autonomic nervous system, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T44.992D","Poisoning by other drug primarily affecting the autonomic nervous system, intentional self-harm, subsequent encounter","SuicideIdeationOrAttempt"
"T44.994A","Poisoning by other drug primarily affecting the autonomic nervous system, undetermined, initial encounter","SuicideIdeationOrAttempt"
"T45.0X2A","Poisoning by antiallergic and antiemetic drugs, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T45.0X2D","Poisoning by antiallergic and antiemetic drugs, intentional self-harm, subsequent encounter","SuicideIdeationOrAttempt"
"T45.0X4D","Poisoning by antiallergic and antiemetic drugs, undetermined, subsequent encounter","SuicideIdeationOrAttempt"
"T45.1X4D","Poisoning by antineoplastic and immunosuppressive drugs, undetermined, subsequent encounter","SuicideIdeationOrAttempt"
"T45.2X4S","Poisoning by vitamins, undetermined, sequela","SuicideIdeationOrAttempt"
"T45.512A","Poisoning by anticoagulants, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T45.514A","Poisoning by anticoagulants, undetermined, initial encounter","SuicideIdeationOrAttempt"
"T45.622A","Poisoning by hemostatic drug, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T45.8X2A","Poisoning by other primarily systemic and hematological agents, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T46.1X2A","Poisoning by calcium-channel blockers, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T46.4X2A","Poisoning by angiotensin-converting-enzyme inhibitors, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T46.4X4D","Poisoning by angiotensin-converting-enzyme inhibitors, undetermined, subsequent encounter","SuicideIdeationOrAttempt"
"T46.5X2A","Poisoning by other antihypertensive drugs, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T46.5X2D","Poisoning by other antihypertensive drugs, intentional self-harm, subsequent encounter","SuicideIdeationOrAttempt"
"T46.5X4A","Poisoning by other antihypertensive drugs, undetermined, initial encounter","SuicideIdeationOrAttempt"
"T46.6X2A","Poisoning by antihyperlipidemic and antiarteriosclerotic drugs, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T47.0X2A","Poisoning by histamine H2-receptor blockers, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T47.1X2A","Poisoning by other antacids and anti-gastric-secretion drugs, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T47.6X4A","Poisoning by antidiarrheal drugs, undetermined, initial encounter","SuicideIdeationOrAttempt"
"T48.1X2A","Poisoning by skeletal muscle relaxants [neuromuscular blocking agents], intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T48.1X4A","Poisoning by skeletal muscle relaxants [neuromuscular blocking agents], undetermined, initial encounter","SuicideIdeationOrAttempt"
"T48.202A","Poisoning by unspecified drugs acting on muscles, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T48.204A","Poisoning by unspecified drugs acting on muscles, undetermined, initial encounter","SuicideIdeationOrAttempt"
"T48.3X2A","Poisoning by antitussives, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T48.3X2D","Poisoning by antitussives, intentional self-harm, subsequent encounter","SuicideIdeationOrAttempt"
"T48.3X4A","Poisoning by antitussives, undetermined, initial encounter","SuicideIdeationOrAttempt"
"T48.3X4D","Poisoning by antitussives, undetermined, subsequent encounter","SuicideIdeationOrAttempt"
"T48.4X2A","Poisoning by expectorants, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T48.4X2D","Poisoning by expectorants, intentional self-harm, subsequent encounter","SuicideIdeationOrAttempt"
"T48.4X4A","Poisoning by expectorants, undetermined, initial encounter","SuicideIdeationOrAttempt"
"T48.5X2A","Poisoning by other anti-common-cold drugs, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T48.6X2A","Poisoning by antiasthmatics, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T48.6X2D","Poisoning by antiasthmatics, intentional self-harm, subsequent encounter","SuicideIdeationOrAttempt"
"T49.0X2A","Poisoning by local antifungal, anti-infective and anti-inflammatory drugs, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T49.4X2A","Poisoning by keratolytics, keratoplastics, and other hair treatment drugs and preparations, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T49.4X4A","Poisoning by keratolytics, keratoplastics, and other hair treatment drugs and preparations, undetermined, initial encounter","SuicideIdeationOrAttempt"
"T49.7X2A","Poisoning by dental drugs, topically applied, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T50.5X2A","Poisoning by appetite depressants, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T50.7X2A","Poisoning by analeptics and opioid receptor antagonists, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T50.902A","Poisoning by unspecified drugs, medicaments and biological substances, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T50.902D","Poisoning by unspecified drugs, medicaments and biological substances, intentional self-harm, subsequent encounter","SuicideIdeationOrAttempt"
"T50.904A","Poisoning by unspecified drugs, medicaments and biological substances, undetermined, initial encounter","SuicideIdeationOrAttempt"
"T50.904D","Poisoning by unspecified drugs, medicaments and biological substances, undetermined, subsequent encounter","SuicideIdeationOrAttempt"
"T50.992A","Poisoning by other drugs, medicaments and biological substances, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T50.992D","Poisoning by other drugs, medicaments and biological substances, intentional self-harm, subsequent encounter","SuicideIdeationOrAttempt"
"T50.994A","Poisoning by other drugs, medicaments and biological substances, undetermined, initial encounter","SuicideIdeationOrAttempt"
"T50.A92A","Poisoning by other bacterial vaccines, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T50.A94S","Poisoning by other bacterial vaccines, undetermined, sequela","SuicideIdeationOrAttempt"
"T51.0X2A","Toxic effect of ethanol, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T51.0X2S","Toxic effect of ethanol, intentional self-harm, sequela","SuicideIdeationOrAttempt"
"T51.0X4A","Toxic effect of ethanol, undetermined, initial encounter","SuicideIdeationOrAttempt"
"T51.0X4D","Toxic effect of ethanol, undetermined, subsequent encounter","SuicideIdeationOrAttempt"
"T51.0X4S","Toxic effect of ethanol, undetermined, sequela","SuicideIdeationOrAttempt"
"T51.1X2A","Toxic effect of methanol, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T51.1X2D","Toxic effect of methanol, intentional self-harm, subsequent encounter","SuicideIdeationOrAttempt"
"T51.1X4A","Toxic effect of methanol, undetermined, initial encounter","SuicideIdeationOrAttempt"
"T51.2X2A","Toxic effect of 2-Propanol, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T51.2X4A","Toxic effect of 2-Propanol, undetermined, initial encounter","SuicideIdeationOrAttempt"
"T51.3X4D","Toxic effect of fusel oil, undetermined, subsequent encounter","SuicideIdeationOrAttempt"
"T51.8X2A","Toxic effect of other alcohols, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T51.8X2D","Toxic effect of other alcohols, intentional self-harm, subsequent encounter","SuicideIdeationOrAttempt"
"T51.8X4A","Toxic effect of other alcohols, undetermined, initial encounter","SuicideIdeationOrAttempt"
"T51.8X4D","Toxic effect of other alcohols, undetermined, subsequent encounter","SuicideIdeationOrAttempt"
"T51.8X4S","Toxic effect of other alcohols, undetermined, sequela","SuicideIdeationOrAttempt"
"T52.1X2A","Toxic effect of benzene, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T52.3X2A","Toxic effect of glycols, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T52.8X2A","Toxic effect of other organic solvents, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T53.6X4A","Toxic effect of other halogen derivatives of aliphatic hydrocarbons, undetermined, initial encounter","SuicideIdeationOrAttempt"
"T54.2X4A","Toxic effect of corrosive acids and acid-like substances, undetermined, initial encounter","SuicideIdeationOrAttempt"
"T54.3X2A","Toxic effect of corrosive alkalis and alkali-like substances, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T54.3X2D","Toxic effect of corrosive alkalis and alkali-like substances, intentional self-harm, subsequent encounter","SuicideIdeationOrAttempt"
"T54.3X4A","Toxic effect of corrosive alkalis and alkali-like substances, undetermined, initial encounter","SuicideIdeationOrAttempt"
"T55.0X4A","Toxic effect of soaps, undetermined, initial encounter","SuicideIdeationOrAttempt"
"T55.1X4A","Toxic effect of detergents, undetermined, initial encounter","SuicideIdeationOrAttempt"
"T56.1X4S","Toxic effect of mercury and its compounds, undetermined, sequela","SuicideIdeationOrAttempt"
"T56.3X2A","Toxic effect of cadmium and its compounds, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
"T56.3X2D","Toxic effect of cadmium and its compounds, intentional self-harm, subsequent encounter","SuicideIdeationOrAttempt"
"T56.3X2S","Toxic effect of cadmium and its compounds, intentional self-harm, sequela","SuicideIdeationOrAttempt"
"T56.3X4A","Toxic effect of cadmium and its compounds, undetermined, initial encounter","SuicideIdeationOrAttempt"
"T56.3X4D","Toxic effect of cadmium and its compounds, undetermined, subsequent encounter","SuicideIdeationOrAttempt"
"T56.3X4S","Toxic effect of cadmium and its compounds, undetermined, sequela","SuicideIdeationOrAttempt"
"T56.892A","Toxic effect of other metals, intentional self-harm, initial encounter","SuicideIdeationOrAttempt"
